Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_1_grade_1,Prerequisite_2,Prerequisite_2_grade_2,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks,Subject_or_Unit_1,Subject_Objective_1,Subject_Description_1,Subject_or_Unit_2,Subject_Objective_2,Subject_Description_2,Subject_or_Unit_3,Subject_Objective_3,Subject_Description_3,Subject_or_Unit_4,Subject_Objective_4,Subject_Description_4,Subject_or_Unit_5,Subject_Objective_5,Subject_Description_5,Subject_or_Unit_6,Subject_Objective_6,Subject_Description_6,Subject_or_Unit_7,Subject_Objective_7,Subject_Description_7,Subject_or_Unit_8,Subject_Objective_8,Subject_Description_8,Subject_or_Unit_9,Subject_Objective_9,Subject_Description_9,Subject_or_Unit_10,Subject_Objective_10,Subject_Description_10,Subject_or_Unit_11,Subject_Objective_11,Subject_Description_11,Subject_or_Unit_12,Subject_Objective_12,Subject_Description_12,Subject_or_Unit_13,Subject_Objective_13,Subject_Description_13,Subject_or_Unit_14,Subject_Objective_14,Subject_Description_14,Subject_or_Unit_15,Subject_Objective_15,Subject_Description_15,Subject_or_Unit_16,Subject_Objective_16,Subject_Description_16,Subject_or_Unit_17,Subject_Objective_17,Subject_Description_17,Subject_or_Unit_18,Subject_Objective_18,Subject_Description_18,Subject_or_Unit_19,Subject_Objective_19,Subject_Description_19,Subject_or_Unit_20,Subject_Objective_20,Subject_Description_20,Subject_or_Unit_21,Subject_Objective_21,Subject_Description_21,Subject_or_Unit_22,Subject_Objective_22,Subject_Description_22,Subject_or_Unit_23,Subject_Objective_23,Subject_Description_23,Subject_or_Unit_24,Subject_Objective_24,Subject_Description_24,Subject_or_Unit_25,Subject_Objective_25,Subject_Description_25,Subject_or_Unit_26,Subject_Objective_26,Subject_Description_26,Subject_or_Unit_27,Subject_Objective_27,Subject_Description_27,Subject_or_Unit_28,Subject_Objective_28,Subject_Description_28,Subject_or_Unit_29,Subject_Objective_29,Subject_Description_29,Subject_or_Unit_30,Subject_Objective_30,Subject_Description_30,Subject_or_Unit_31,Subject_Objective_31,Subject_Description_31,Subject_or_Unit_32,Subject_Objective_32,Subject_Description_32,Subject_or_Unit_33,Subject_Objective_33,Subject_Description_33,Subject_or_Unit_34,Subject_Objective_34,Subject_Description_34,Subject_or_Unit_35,Subject_Objective_35,Subject_Description_35,Subject_or_Unit_36,Subject_Objective_36,Subject_Description_36,Subject_or_Unit_37,Subject_Objective_37,Subject_Description_37,Subject_or_Unit_38,Subject_Objective_38,Subject_Description_38,Subject_or_Unit_39,Subject_Objective_39,Subject_Description_39,Subject_or_Unit_40,Subject_Objective_40,Subject_Description_40
PG,Macquarie University,North Ryde,Master of Business Analytics and Master of Information Systems Management,Computer Science & Information Technology,"28,800",,AUD,Years,2,Years,Yes,Yes,,,,,https://courses.mq.edu.au/2021/domestic/postgraduate/master-of-business-analytics-and-master-of-information-systems-management,English,D,"Macquarie has always considered our students to be co-creators in their learning. One of the most exciting developments in our new curriculum is around your ability to study two degrees at once.
In this double degree, you will be able to combine:

Master of Business Analytics: This comprehensive, flexible degree has a strong focus on the real-world application of business analytics tools and techniques. You’ll develop your knowledge and understanding of computer programming, databases, applied statistics and machine learning techniques applied to big data. You’ll become adept at recognising the importance of ethical reasoning in the solution of analytic-related problems. And you’ll learn how to collaborate and communicate effectively with diverse teams to achieve a range of purposes in different contexts.
Master of Information Systems Management: Our program is designed to provide you with an overview of global business strategy and equip you with the analytic, communication and project management skills to tame the IT - business interface.",,Australia,No,Yes,No,Yes,No,,Strategic Project Management,,,Applied Marketing Research,,,Business Analytics Project,,,Statistical Graphics,,,"Management of Data, Analytics and Change",,,FinTech and Innovation,,,Enterprise Management,,,Major Project,,,Security Management,,,Blockchain for Competitive Advantage,,,Information Systems Project and Risk Management,,,Enterprise Application Integration,,,Managing Technology,,,Big Data Technologies,,,Machine Learning,,,Information Systems Design and Management,,,Applied Econometrics,,,Techniques in Business Analytics,,,Statistical Theory,,,Data and Visualisation for Business,,,Applied Predictive Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Macquarie University,North Ryde,Master of Business Analytics and Master of Information Technology in Networking,Humanities and Social Science,"28,800",,AUD,Years,2,Years,Yes,Yes,,,,,https://courses.mq.edu.au/2021/domestic/postgraduate/master-of-business-analytics-and-master-of-information-technology-in-networking,English,D,"Macquarie has always considered our students to be co-creators in their learning. One of the most exciting developments in our new curriculum is around your ability to study two degrees at once.
In this double degree, you will be able to combine:

Master of Business Analytics: This comprehensive, flexible degree has a strong focus on the real-world application of business analytics tools and techniques. You’ll develop your knowledge and understanding of computer programming, databases, applied statistics and machine learning techniques applied to big data. You’ll become adept at recognising the importance of ethical reasoning in the solution of analytic-related problems. And you’ll learn how to collaborate and communicate effectively with diverse teams to achieve a range of purposes in different contexts.
Master of Information Technology in Networking: In this degree, you’ll develop an in-depth integrated knowledge of advanced concepts in network and internetwork technologies, and learn how to apply them to solving practical problems in networked IT systems, as well as related topics such as network design and security. If you have undergraduate qualifications in IT, computing or engineering (with suitable units in computer programming), this degree will enable you to transition into the internetworking field.",,Australia,No,Yes,No,Yes,No,,Advanced Topics in Computer Networks,,,Mobile Data Networks,,,Statistical Graphics,,,Managing Technology,,,Blockchain for Competitive Advantage,,,Techniques in Business Analytics,,,Network System Design,,,FinTech and Innovation,,,Applied Marketing Research,,,"Management of Data, Analytics and Change",,,Multimedia Networks and Real Time Protocols,,,Major Project,,,Applied Econometrics,,,Data and Visualisation for Business,,,Advanced System and Network Security,,,Big Data Technologies,,,Machine Learning,,,Applied Predictive Analytics,,,Business Analytics Project,,,Distributed Systems,,,Statistical Theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Macquarie University,North Ryde,Master of Business Analytics and Master of Information Technology in Cyber Security,Computer Science & Information Technology,"28,800",,AUD,Years,2,Years,Yes,Yes,,,,,https://courses.mq.edu.au/2021/domestic/postgraduate/master-of-business-analytics-and-master-of-information-technology-in-cyber-security,English,D,"Macquarie has always considered our students to be co-creators in their learning. One of the most exciting developments in our new curriculum is around your ability to study two degrees at once.
In this double degree, you will be able to combine:

Master of Business Analytics: This comprehensive, flexible degree has a strong focus on the real-world application of business analytics tools and techniques. You’ll develop your knowledge and understanding of computer programming, databases, applied statistics and machine learning techniques applied to big data. You’ll become adept at recognising the importance of ethical reasoning in the solution of analytic-related problems. And you’ll learn how to collaborate and communicate effectively with diverse teams to achieve a range of purposes in different contexts.
Master of Information Technology in Cyber Security: This technical degree provides up-to-date knowledge and practical training for a successful career in the burgeoning field of cyber security. Completing this degree will arm you with technical skills in cryptography, networks, artificial intelligence and mobile data communications.",,Australia,No,Yes,No,Yes,No,,Managing Technology,,,Network System Design,,,Business Analytics Project,,,Major Project,,,Applied Marketing Research,,,Big Data Technologies,,,Blockchain for Competitive Advantage,,,Applications of Artificial Intelligence for Cyber Security,,,Statistical Graphics,,,Techniques in Business Analytics,,,"Management of Data, Analytics and Change",,,FinTech and Innovation,,,"Cyber Security, Governance Frameworks and Ethics",,,Data and Visualisation for Business,,,Distributed Systems,,,Security Technologies and Forensic Analysis,,,Information and Data Security,,,Statistical Theory,,,Machine Learning,,,Applied Predictive Analytics,,,Applied Econometrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Macquarie University,North Ryde,Master of Business Analytics and Master of Management,Business & Commerce & Finance & Accounting,"29,200",,AUD,Years,2,Years,Yes,Yes,,,,,https://courses.mq.edu.au/2021/domestic/postgraduate/master-of-business-analytics-and-master-of-management,English,D,"Macquarie has always considered our students to be co-creators in their learning. One of the most exciting developments in our new curriculum is around your ability to study two degrees at once.
In this double degree, you will be able to combine:

Master of Management: This degree, developed specifically for recent graduates and early career professionals, will provide you with deep experiential learning within contemporary business settings, and will give you opportunities to practically apply your learning to real and current corporate challenges.
Master of Business Analytics: Developed and refined in consultation with industry so content is always current and relevant, this degree will equip you with the knowledge and skills to help businesses better understand their consumers, innovate, reduce their risk and maximise opportunities.",,Australia,No,Yes,No,Yes,No,,Applied Predictive Analytics,,,"Management of Data, Analytics and Change",,,Managing Globally,,,Professional Practice,,,Managing Strategically,,,Applied Marketing Research,,,Learning to be a Leader,,,Learning to be Persuasive,,,Big Data Technologies,,,Machine Learning,,,Statistical Theory,,,Applied Econometrics,,,Managing Technology,,,Change Management,,,Blockchain for Competitive Advantage,,,Statistical Graphics,,,FinTech and Innovation,,,Techniques in Business Analytics,,,Business Analytics Project,,,Data and Visualisation for Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Macquarie University,North Ryde,Master of Commerce and Master of Finance,Business & Commerce & Finance & Accounting,"30,000",,AUD,Years,2,Years,Yes,Yes,,,,,https://courses.mq.edu.au/2021/domestic/postgraduate/master-of-commerce-and-master-of-finance,English,D,"Macquarie has always considered our students to be co-creators in their learning. One of the most exciting developments in our new curriculum is around your ability to study two degrees at once.
In this double degree, you will be able to combine:

Master of Commerce: A practical and flexible course, which is designed to meet employer needs, to help you extend your business knowledge making you highly employable in a wide range of careers. Want to develop depth in a certain business discipline? You can choose one or two specialisations under this degree.
Master of Finance: This comprehensive, flexible and career-oriented degree has been designed to meet the needs of employers who are seeking finance professionals with highly practical skills. You’ll learn how to apply the advanced technical skills required to examine, interpret and appraise a range of financial information and market conditions. You’ll study recent developments and issues in banking and finance, and professional practice – with a particular focus on ethical, social, regulatory, economic, sustainability and global perspectives. And you’ll conduct independent research and exercise professional judgement in solving complex banking and financial problems.",,Australia,No,Yes,No,Yes,No,,Environmental Finance,,,Managerial Accounting,,,Alternative Securities,,,Business Internship,,,Fixed Income and Credit Analysis,,,Current Issues in Banking and Finance,,,Research Methods in Banking and Finance,,,FinTech and Innovation,,,"Payments, Cryptocurrencies and Blockchain",,,Corporate Finance,,,Marketing Theory,,,Business and Global Environmental Change,,,Contemporary Business Issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Macquarie University,North Ryde,Master of Commerce and Master of International Business,Business & Commerce & Finance & Accounting,"30,000",,AUD,Years,2,Years,Yes,Yes,,,,,https://courses.mq.edu.au/2021/domestic/postgraduate/master-of-commerce-and-master-of-international-business,English,D,"Macquarie has always considered our students to be co-creators in their learning. One of the most exciting developments in our new curriculum is around your ability to study two degrees at once.
In this double degree, you will be able to combine:

Master of Commerce: A practical and flexible course, which is designed to meet employer needs, to help you extend your business knowledge making you highly employable in a wide range of careers. Want to develop depth in a certain business discipline? You can choose one or two specialisations under this degree.
Master of International Business: This prestigious course will equip you with the skills and knowledge you'll need to set up and lead global enterprises. You'll develop a solid understanding of core business disciplines with an international focus so you can take your career around the world.",,Australia,No,Yes,No,Yes,No,,Principles of International Marketing,,,Managerial Accounting,,,International Business Project,,,International Financial Management,,,Globalisation and Value Chain Management,,,Contemporary Business Issues,,,Corporate Finance,,,International Human Resource Management,,,Managing Cultural Diversity,,,Marketing Theory,,,International Trade,,,International Business Strategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Macquarie University,North Ryde,Master of Commerce and Master of International Relations,Humanities and Social Science,"30,000",,AUD,Years,2,Years,Yes,Yes,,,,,https://courses.mq.edu.au/2021/domestic/postgraduate/master-of-commerce-and-master-of-international-relations,English,D,"Macquarie has always considered our students to be co-creators in their learning. One of the most exciting developments in our new curriculum is around your ability to study two degrees at once.
In this double degree, you will be able to combine:

Master of Commerce: A practical and flexible course, which is designed to meet employer needs, to help you extend your business knowledge making you highly employable in a wide range of careers. Want to develop depth in a certain business discipline? You can choose one or two specialisations under this degree.
Master of International Relations: Through engagement with innovative approaches and thinking, this course will empower you to comprehend and evaluate contemporary regional and global developments, and will equip you for an international career in diplomacy, journalism, the NGO sector, international business or academia.",,Australia,No,Yes,No,Yes,No,,Understanding World Politics: Theoretical Approaches,,,The Global Politics of Human Rights,,,International Law and Global Governance,,,Managerial Accounting,,,Marketing Theory,,,Corporate Finance,,,Europe and the World,,,Security in World Politics,,,Contemporary Business Issues,,,The Middle East in Global Politics,,,International Political Economy,,,International Relations Practice,,,International Relations Research Project,,,Research Methods in International Relations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Macquarie University,North Ryde,Master of Commerce and Master of Management,Business & Commerce & Finance & Accounting,"30,000",,AUD,Years,2,Years,Yes,Yes,,,,,https://courses.mq.edu.au/2021/domestic/postgraduate/master-of-commerce-and-master-of-management,English,D,"Macquarie has always considered our students to be co-creators in their learning. One of the most exciting developments in our new curriculum is around your ability to study two degrees at once.
In this double degree, you will be able to combine:

Master of Management: This degree, developed specifically for recent graduates and early career professionals, will provide you with deep experiential learning within contemporary business settings, and will give you opportunities to practically apply your learning to real and current corporate challenges.
Master of Commerce: This degree will prepare you to become a business professional in a wide range of careers. You'll study a set of extensive and integrated foundation units that will orient you to business, and then you’ll complete one or two majors to develop depth in your chosen discipline.",,Australia,No,Yes,No,Yes,No,,Learning to be a Leader,,,Learning to be Persuasive,,,Marketing Theory,,,Change Management,,,Managing Globally,,,Corporate Finance,,,Contemporary Business Issues,,,Managerial Accounting,,,Managing Technology,,,Professional Practice,,,Managing Strategically,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Macquarie University,North Ryde,Master of Commerce and Master of Marketing,Business & Commerce & Finance & Accounting,"30,000",,AUD,Years,2,Years,Yes,Yes,,,,,https://courses.mq.edu.au/2021/domestic/postgraduate/master-of-commerce-and-master-of-marketing,English,D,"Macquarie has always considered our students to be co-creators in their learning. One of the most exciting developments in our new curriculum is around your ability to study two degrees at once.
In this double degree, you will be able to combine:
Master of Commerce: A practical and flexible course, which is designed to meet employer needs, to help you extend your business knowledge making you highly employable in a wide range of careers. Want to develop depth in a certain business discipline? You can choose one or two specialisations under this degree.
Master of Marketing: Designed in consultation with industry, this degree takes a practical, applied approach to teaching and learning, and will enable you to work in a team, identify opportunities and creatively solve business problems. It will provide you with the knowledge, skills and professional attributes you’ll need to advance your career in the rapidly changing world of marketing.",,Australia,No,Yes,No,Yes,No,,Contemporary Business Issues,,,Strategic Marketing Management,,,Digital Marketing Strategy,,,Marketing Supply Chain Strategy,,,Business Internship,,,Marketing Communications,,,Professional and Business Services Marketing,,,New Product and Service Commercialisation,,,Applied Marketing Research,,,Corporate Finance,,,Advanced Consumer Behaviour,,,Business-to-Business Marketing Strategy,,,Strategic Sales Management,,,Strategic Branding,,,Managing Customer Relationships,,,Managerial Accounting,,,Marketing Theory,,,Social Media Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Macquarie University,North Ryde,Master of Commerce and Master of Media and Communication,Business & Commerce & Finance & Accounting,"30,000",,AUD,Years,2,Years,Yes,Yes,,,,,https://courses.mq.edu.au/2021/domestic/postgraduate/master-of-commerce-and-master-of-media-and-communication,English,D,"Macquarie has always considered our students to be co-creators in their learning. One of the most exciting developments in our new curriculum is around your ability to study two degrees at once.
In this double degree, you will be able to combine:

Master of Commerce: A practical and flexible course, which is designed to meet employer needs, to help you extend your business knowledge making you highly employable in a wide range of careers. Want to develop depth in a certain business discipline? You can choose one or two specialisations under this degree.
Master of Media and Communication: Through engagement with innovative approaches and thinking, this course will empower you to comprehend and evaluate contemporary regional and global developments, and will equip you for an international career in diplomacy, journalism, the NGO sector, international business or academia.",,Australia,No,Yes,No,Yes,No,,Digital Media Strategies,,,Corporate Finance,,,Writing the Real,,,Contemporary Global Media,,,Marketing Theory,,,Data Journalism,,,Contemporary Business Issues,,,Storytelling Techniques,,,Social Media,,,Media-Communications Strategies and Campaigns,,,Media Writing and Research,,,Managerial Accounting,,,Professional Practices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Macquarie University,"North Ryde, Off-campus",Master of Counter Terrorism and Master of Criminology,Humanities and Social Science,"28,800",,AUD,Years,2,Years,Yes,Yes,,,,,https://courses.mq.edu.au/2021/domestic/postgraduate/master-of-counter-terrorism-and-master-of-criminology,English,D,"Macquarie has always considered our students to be co-creators in their learning. One of the most exciting developments in our new curriculum is around your ability to study two degrees at once.
In this double degree, you will be able to combine:

Master of Counter Terrorism:  This practice-oriented course will prepare you to analyse real-world counter terrorism challenges. You'll learn about the theory and practice of counter terrorism studies; the emerging domestic, regional and international challenges related to terrorism and their implications for counter terrorism approaches and policies; and the evolution of Australia's counter terrorism strategies and policies. It will also equip you with a practical skill set.
Master of Criminology: This course will develop your skills in advanced criminology theory, applied criminological research and criminal justice policy analysis. As a graduate you'll use your knowledge drawn from fields including sociology, psychology, psychiatry and social anthropology to better understand, measure and evaluate crime.",,Australia,No,Yes,No,Yes,No,,Advanced Criminology Theory,,,Intelligence: Theory and Practice,,,Internship,,,"Decision Making, Scenario Planning and Simulation in Counter Terrorism",,,Supervised Project in Security Studies,,,Australia's Approach to Law Enforcement,,,"Decision Making, Scenario Planning and Simulation in Criminology",,,"Cyber Conflict, Cyber Espionage and Information Warfare",,,Critical Thought and Research Design,,,Study Tour,,,Simulation in Criminology,,,International Terrorism,,,Counter Terrorism in the Global and Australian Contexts,,,Simulation in Counter Terrorism,,,The Crimes of the Powerful,,,Geopolitics and Geostrategy,,,Choosing Terror: Pathways into Terrorism,,,Advanced Terrorism Studies,,,Applied Criminology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Macquarie University,"North Ryde, Off-campus",Master of Counter Terrorism and Master of Intelligence,Humanities and Social Science,"28,800",,AUD,Years,2,Years,Yes,Yes,,,,,https://courses.mq.edu.au/2021/domestic/postgraduate/master-of-counter-terrorism-and-master-of-intelligence,English,D,"Macquarie has always considered our students to be co-creators in their learning. One of the most exciting developments in our new curriculum is around your ability to study two degrees at once.
In this double degree, you will be able to combine:

Master of Counter Terrorism:  This practice-oriented course will prepare you to analyse real-world counter terrorism challenges. You'll learn about the theory and practice of counter terrorism studies; the emerging domestic, regional and international challenges related to terrorism and their implications for counter terrorism approaches and policies; and the evolution of Australia's counter terrorism strategies and policies. It will also equip you with a practical skill set.
Master of Intelligence: This course will equip you with a practical skill set, enabling you to analyse real-world intelligence challenges. You'll also develop a deep understanding of the evolution of Australia's intelligence community, as well as the emerging domestic, regional and international challenges that surround intelligence.",,Australia,No,Yes,No,Yes,No,,Supervised Project in Security Studies,,,"Cyber Conflict, Cyber Espionage and Information Warfare",,,Internship,,,"Decision Making, Scenario Planning and Simulation in Counter Terrorism",,,International Terrorism,,,Intelligence Analysis,,,Study Tour,,,Counter Terrorism in the Global and Australian Contexts,,,Advanced Terrorism Studies,,,Intelligence: Theory and Practice,,,Advanced Criminology Theory,,,Choosing Terror: Pathways into Terrorism,,,The Intelligence Community in Australia,,,History of Intelligence,,,Critical Thought and Research Design,,,Simulation in Intelligence,,,"Decision Making, Scenario Planning and Simulation in Intelligence",,,Simulation in Counter Terrorism,,,Geopolitics and Geostrategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Macquarie University,"North Ryde, Off-campus",Master of Counter Terrorism and Master of International Trade and Commerce Law,Humanities and Social Science,"28,800",,AUD,Years,2,Years,Yes,Yes,,,,,https://courses.mq.edu.au/2021/domestic/postgraduate/master-of-counter-terrorism-and-master-of-international-trade-and-commerce-law,English,D,"Macquarie has always considered our students to be co-creators in their learning. One of the most exciting developments in our new curriculum is around your ability to study two degrees at once.
In this double degree, you will be able to combine:

Master of Counter Terrorism:  This practice-oriented course will prepare you to analyse real-world counter terrorism challenges. You'll learn about the theory and practice of counter terrorism studies; the emerging domestic, regional and international challenges related to terrorism and their implications for counter terrorism approaches and policies; and the evolution of Australia's counter terrorism strategies and policies. It will also equip you with a practical skill set.
Master of International Trade and Commerce Law: In this course, you'll extend your knowledge of the legal, governance and policy issues relevant to international and domestic trade and commerce so that you develop a broad and well-rounded understanding of the area, as well as skills to advance your career.",,Australia,No,Yes,No,Yes,No,,Geopolitics and Geostrategy,,,Law of the Sea,,,Corporate Governance Law,,,Advanced Criminology Theory,,,Law and Technology,,,International Law,,,Simulation in Counter Terrorism,,,Commercial Law,,,Intellectual Property Law,,,Choosing Terror: Pathways into Terrorism,,,Internship,,,Research Methodologies in Law,,,Critical Thought and Research Design,,,Trade and Environment Law,,,"Decision Making, Scenario Planning and Simulation in Counter Terrorism",,,Supervised Project in Security Studies,,,Advanced Terrorism Studies,,,International Terrorism,,,Study Tour,,,Competition Law,,,Professional Skills and Practice,,,Trade Law,,,"Cyber Conflict, Cyber Espionage and Information Warfare",,,Environmental Law and Policy Clinic,,,Intelligence: Theory and Practice,,,International Commercial Law,,,Counter Terrorism in the Global and Australian Contexts,,,Energy and Natural Resources Law,,,International Dispute Settlement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Macquarie University,North Ryde,Master of Counter Terrorism and Master of International Relations,Humanities and Social Science,"28,800",,AUD,Years,2,Years,Yes,Yes,,,,,https://courses.mq.edu.au/2021/domestic/postgraduate/master-of-counter-terrorism-and-master-of-international-relations,English,D,"Macquarie has always considered our students to be co-creators in their learning. One of the most exciting developments in our new curriculum is around your ability to study two degrees at once.
In this double degree, you will be able to combine:

Master of Counter Terrorism:  You'll learn about the theory and practice of counter terrorism studies; the emerging domestic, regional and international challenges related to terrorism and their implications for counter terrorism approaches and policies; and the evolution of Australia's counter terrorism strategies and policies. It will also equip you with a practical skill set.
Master of International Relations: Through engagement with innovative approaches and thinking, this course will empower you to comprehend and evaluate contemporary regional and global developments, and will equip you for an international career in diplomacy, journalism,the NGO sector, international business or academia.",,Australia,No,Yes,No,Yes,No,,International Terrorism,,,Advanced Terrorism Studies,,,Counter Terrorism in the Global and Australian Contexts,,,Geopolitics and Geostrategy,,,Understanding World Politics: Theoretical Approaches,,,Internship,,,Study Tour,,,Supervised Project in Security Studies,,,The Middle East in Global Politics,,,Intelligence: Theory and Practice,,,International Law and Global Governance,,,Research Methods in International Relations,,,"Cyber Conflict, Cyber Espionage and Information Warfare",,,Simulation in Counter Terrorism,,,Critical Thought and Research Design,,,Europe and the World,,,Choosing Terror: Pathways into Terrorism,,,"Decision Making, Scenario Planning and Simulation in Counter Terrorism",,,International Relations Practice,,,International Political Economy,,,Advanced Criminology Theory,,,Security in World Politics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Macquarie University,"North Ryde, Off-campus",Master of Counter Terrorism and Master of Laws,Humanities and Social Science,"28,800",,AUD,Years,2,Years,Yes,Yes,,,,,https://courses.mq.edu.au/2021/domestic/postgraduate/master-of-counter-terrorism-and-master-of-laws,English,D,"Macquarie has always considered our students to be co-creators in their learning. One of the most exciting developments in our new curriculum is around your ability to study two degrees at once.
In this double degree, you will be able to combine:

Master of Counter Terrorism:   This practice-oriented course will prepare you to analyse real-world counter terrorism challenges. You'll learn about the theory and practice of counter terrorism studies; the emerging domestic, regional and international challenges related to terrorism and their implications for counter terrorism approaches and policies; and the evolution of Australia's counter terrorism strategies and policies. It will also equip you with a practical skill set.
Master of Laws: This degree will simultaneously extend your legal research, and your practical legal skills and knowledge to an advanced level. It offers you the flexibility to focus on a particular area of law, such as environmental law, international law, human rights law or business law, or to choose a broader program of study covering a variety of legal areas. You’ll gain the skills to think critically and respond flexibly by applying your research and practical skills to the wide range of potential issues you may confront in your career.",,Australia,No,Yes,No,Yes,No,,International Dispute Settlement,,,Critical Thought and Research Design,,,Geopolitics and Geostrategy,,,Simulation in Counter Terrorism,,,Refugees and Migration Law,,,Commercial Law,,,Corporate Governance Law,,,Media Law and Culture,,,Succession,,,International Commercial Law,,,Internship,,,Indigenous Peoples and the Law,,,Trade and Environment Law,,,Human Rights and Moral Dilemmas,,,Intelligence: Theory and Practice,,,The Crimes of the Powerful,,,Climate Change Law,,,Cyber Crime and Cyber Policing,,,Health Law,,,Insolvency Law,,,Transnational Security,,,Advanced Terrorism Studies,,,Choosing Terror: Pathways into Terrorism,,,Professional Skills and Practice,,,International Law,,,Intellectual Property Law,,,Environmental Planning Law,,,Study Tour,,,Environmental Law and Policy Clinic,,,"Decision Making, Scenario Planning and Simulation in Counter Terrorism",,,Trade Law,,,Law and Technology,,,Research Methodologies in Law,,,International Terrorism,,,Family Law,,,History of Intelligence,,,Supervised Project in Security Studies,,,Advanced Criminology Theory,,,Environmental Law and Sustainable Development,,,Anti-Discrimination Law,,
PG,Macquarie University,North Ryde,Master of Counter Terrorism and Master of Public and Social Policy,Humanities and Social Science,"28,800",,AUD,Years,2,Years,Yes,Yes,,,,,https://courses.mq.edu.au/2021/domestic/postgraduate/master-of-counter-terrorism-and-master-of-public-and-social-policy,English,D,"Macquarie has always considered our students to be co-creators in their learning. One of the most exciting developments in our new curriculum is around your ability to study two degrees at once.
In this double degree, you will be able to combine:

Master of Counter Terrorism: This practice-oriented course will prepare you to analyse real-world counter terrorism challenges. You'll learn about the theory and practice of counter terrorism studies; the emerging domestic, regional and international challenges related to terrorism and their implications for counter terrorism approaches and policies; and the evolution of Australia's counter terrorism strategies and policies. It will also equip you with a practical skill set.
Master of Public and Social Policy: With its dual focus on policy analysis and applied social research, this unique degree will give you a deep understanding of the forces that shape policy and the processes involved in making it. You’ll develop advanced skills in critical analysis to help you design and deliver effective policy solutions that serve the public interest, as well as the confidence to make socially informed judgements in a range of specialist policy areas.",,Australia,No,Yes,No,Yes,No,,Policy Ideas in Focus: Framing Policy Problems,,,Intelligence: Theory and Practice,,,Critical Thought and Research Design,,,Counter Terrorism in the Global and Australian Contexts,,,"Decision Making, Scenario Planning and Simulation in Counter Terrorism",,,Doing Social Survey Research,,,Evaluating Social Policy,,,Geopolitics and Geostrategy,,,Study Tour,,,Internship,,,Policy Design: Concepts and Case Studies,,,International Terrorism,,,Choosing Terror: Pathways into Terrorism,,,Supervised Project in Security Studies,,,Social Impact Assessment,,,Advanced Terrorism Studies,,,Advanced Introduction to Policy,,,Advanced Criminology Theory,,,Qualitative Methods for Policy,,,"Cyber Conflict, Cyber Espionage and Information Warfare",,,Simulation in Counter Terrorism,,,Making Public Policy in a Globalised World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
